Language,Total tokens,Article count,Avg tokens/article,Main categories %,Subcategories %,Random %,Execution time (min),Categories available,Categories coverage %,Main ordered %,Main random %,Limited articles count,Limited articles %,Culture tokens,Culture articles,History tokens,History articles,Geography tokens,Geography articles,Politics tokens,Politics articles,People tokens,People articles,Science tokens,Science articles,Sports tokens,Sports articles
bxr,83029,272,305.25367647058823,18.233388334196484,38.046947452095054,43.71966421370846,37.30526887178421,7,100.0,45.828654468591054,54.171345531408946,19,6.985294117647059,7253,26,8832,18,7811,20,8206,33,5953,20,7893,29,781,5
ce,79546,418,190.30143540669857,6.539612299801373,48.16206974580746,45.29831795439117,93.65122377872467,7,100.0,53.74855824682814,46.251441753171854,16,3.827751196172249,5942,13,7087,12,7036,16,5671,8,5282,13,5199,13,7296,40
myv,68976,332,207.75903614457832,9.662781257248898,38.107457666434705,52.22976107631639,60.23990911642711,7,100.0,29.962490622655665,70.03750937734434,10,3.0120481927710845,8237,28,2728,28,5249,40,1000,1,8062,22,5616,27,2058,15
os,77053,374,206.024064171123,4.373612967697558,48.76124226181979,46.86514477048265,116.25819071531296,7,100.0,77.62611275964392,22.373887240356083,7,1.8716577540106951,6020,21,6248,27,7096,34,5651,27,5598,29,5178,21,5151,21
udm,74894,328,228.33536585365854,8.283707640131386,43.618981493844636,48.09731086602398,71.41562765439352,7,100.0,49.53255963894262,50.46744036105738,5,1.524390243902439,6587,26,7112,22,6321,33,4659,18,5188,17,7240,49,1765,11
ab,65604,221,296.85067873303166,4.486006950795683,44.36467288579964,51.14932016340467,123.59920609792074,7,100.0,84.94733265375467,15.052667346245327,22,9.95475113122172,0,0,6463,11,4361,12,6936,12,4939,7,5000,13,4349,9
kbd,56300,236,238.5593220338983,9.63943161634103,30.282415630550624,60.07815275310835,27.961597168445586,7,100.0,64.95301271420675,35.04698728579326,5,2.11864406779661,972,3,7753,10,7312,30,0,0,5089,22,0,0,1350,2
koi,59493,269,221.1635687732342,3.502933118181971,39.255038407879915,57.24202847393811,47.66138108174006,7,100.0,38.57965451055662,61.42034548944337,7,2.6022304832713754,5659,13,1335,2,7096,37,0,0,5401,13,5947,25,0,0
kv,46073,161,286.167701863354,8.05677945868513,42.263364660430184,49.67985588088468,21.6345987478892,7,100.0,76.10452586206897,23.895474137931032,7,4.3478260869565215,6373,31,1447,5,6079,20,2137,6,0,0,0,0,7148,14
mhr,52447,233,225.09442060085837,5.453124106240586,42.98815947527981,51.55871641847961,102.74482666651407,7,100.0,86.81818181818181,13.18181818181818,4,1.7167381974248928,4033,12,306,1,4420,26,2455,20,4867,10,4008,16,5317,19
